county,disp_2022,disp_2021,disp_2020,disp_2019,disp_2018,paid_2022,paid_2021,paid_2020,paid_2019,paid_2018
McCulloch,135,156,75,195,202,41,37,20,43,20
McLennan,"3,818","2,567","2,425","5,056","4,097","2,199","1,843","1,814","2,838","2,710"
McMullen,78,73,57,59,20,17,13,22,17,17
Madison,223,170,284,319,434,43,65,135,196,211
Marion,98,118,130,167,213,45,57,50,107,156
Martin,95,159,288,105,109,1,4,2,0,1
Mason,32,23,13,33,63,6,6,3,11,12
Matagorda,520,482,522,754,782,62,63,52,83,53
Maverick,"1,518",698,486,657,"1,470",0,11,28,31,25
Medina,600,739,528,554,787,461,266,156,254,319
Menard,50,54,38,72,78,11,8,6,16,6
Midland,"4,070","2,723","2,622","3,853","4,057",954,435,453,575,562
Milam,497,541,468,563,609,26,39,41,61,69
Mills,67,39,45,77,76,4,6,7,9,13
Mitchell,218,125,126,144,318,19,13,12,6,13
Montague,205,249,225,293,387,23,19,22,48,56
Montgomery,"10,113","8,990","7,792","10,307","10,745","3,940","3,274","3,270","4,074","4,014"
Moore,893,356,428,763,605,382,328,117,272,305
Morris,184,232,219,178,205,14,21,22,54,23
Motley,2,0,3,3,9,3,1,0,5,5
Nacogdoches,"3,319","1,772","1,788","2,245","2,471",838,583,522,646,628
Navarro,"1,165",848,804,"2,203","1,852",430,304,386,453,366
Newton,87,127,53,134,167,18,32,14,35,18
Nolan,247,400,527,353,415,68,54,133,190,173
Nueces,"5,303","4,841","4,704","8,439","5,156","4,025","2,706","2,200","3,275","2,259"
Ochiltree,141,156,162,173,244,52,35,51,48,92
Oldham,155,147,109,129,54,29,21,16,11,8
Orange,729,746,684,"1,085","1,053",267,400,320,457,534
Palo Pinto,339,322,398,456,459,60,53,60,52,64
Panola,340,305,180,436,367,99,80,114,128,129
Parker,"1,533","1,369","1,449","2,308","2,476",272,270,302,399,305
Parmer,148,153,157,238,185,1,3,3,13,13
Pecos,381,474,418,650,535,49,49,29,40,38
Polk,997,760,"1,385","1,201",633,387,300,258,332,366
Potter,"1,399","1,026",877,"1,817","2,419","1,114",746,404,658,670
Presidio,56,0,15,21,17,5,4,4,6,3
Rains,94,114,107,256,177,15,6,5,8,11
Randall,917,885,"1,076","1,470","1,444",393,344,352,573,343
Reagan,84,100,93,225,294,35,10,8,32,55
Real,34,35,70,62,89,0,7,19,16,21
Red River,121,121,116,176,176,56,65,38,46,72
Reeves,285,452,449,391,411,35,15,6,15,59
Refugio,556,438,520,291,229,247,0,97,89,96
Roberts,55,43,16,33,19,1, ,1,1,1
Robertson,344,260,277,473,614,50,13,12,12,32
Rockwall,"2,010","2,301","1,443","2,714","2,449",882,996,727,"1,255","1,204"
Runnels,227,225,166,319,229,26,21,18,87,25
Rusk,644,706,488,667,"1,097",128,89,74,69,100
Sabine,247,216,152,268,341,73,53,11,29,8
San Augustine,139,53,91,144,111,6,14,0,0,0
San Jacinto,417,316,261,411,387,8,8,13,24,24
San Patricio,"1,905","2,248","1,319","1,684","1,820",0,476,419,459,409
San Saba,52,64,55,83,62,3,0,4,9,6
Schleicher,29,50,49,57,62,0,2,2,3,11
Scurry,281,329,220,271,169,64,64,3,0,11
Shackelford,70,70,56,80,56,26,12,23,18,33
Shelby,385,517,276,400,382,6,18,9,24,36
Sherman,63,65,80,85,63,27,53,45,74,56
Smith,"3,424","2,561","2,906","4,094","3,755",315,321,357,503,494
Somervell,119,130,162,181,159,9,5,13,24,16
Starr,"1,020",19,393,705,844,486,134,161,280,330
Stephens,321,384,252,178,261,225,122,65,53,96
Sterling,14,58,35,39,45,9,15,6,17,11
