county,pop_2023,pop_2022,pop_2021,pop_2020,pop_2019,felExp_2023,felExp_2022,felExp_2021,felExp_2020,felExp_2019,misdExp_2023,misdExp_2022,misdExp_2021,misdExp_2020,misdExp_2019,totalExp_2023,totalExp_2022,totalExp_2021,totalExp_2020,totalExp_2019
Garza,"6,061","5,775","5,978","5,978","6,360","$39,277 ","$32,685 ","$25,649 ","$21,540 ","$22,653 ",$0 ,"$1,500 ","$1,075 ","$3,710 ","$3,695 ","$45,315 ","$37,182 ","$28,419 ","$27,212 ","$30,992 "
Gillespie,"27,907","27,284","27,617","27,617","27,016","$44,944 ","$80,211 ","$100,553 ","$143,310 ","$144,905 ","$8,284 ","$22,162 ","$24,326 ","$17,992 ","$21,483 ","$278,827 ","$276,719 ","$204,422 ","$166,287 ","$194,935 "
Glasscock,"1,194","1,120","1,363","1,363","1,448","$5,550 ","$8,100 ","$4,500 ","$3,600 ","$1,150 ",$0 ,$0 ,$0 ,$0 ,$400 ,"$6,550 ","$9,100 ","$5,500 ","$4,600 ","$3,150 "
Goliad,"7,042","7,204","8,127","8,127","7,869","$24,102 ","$22,470 ","$8,665 ","$12,311 ","$13,864 ",$325 ,$0 ,$0 ,$0 ,$400 ,"$221,624 ","$141,328 ","$125,948 ","$129,594 ","$132,410 "
Gonzales,"19,887","19,446","20,819","20,819","20,659","$216,572 ","$135,861 ","$104,267 ","$114,831 ","$141,596 ","$47,170 ","$35,423 ","$24,296 ","$20,649 ","$38,986 ","$267,192 ","$176,802 ","$137,179 ","$141,684 ","$190,523 "
Gray,"20,729","20,688","21,900","21,900","21,657","$180,309 ","$150,686 ","$135,041 ","$185,451 ","$184,236 ","$68,850 ","$47,230 ","$38,900 ","$33,845 ","$39,550 ","$273,274 ","$220,631 ","$194,306 ","$246,760 ","$250,271 "
Grayson,"145,044","141,115","136,052","136,052","137,479","$695,173 ","$589,979 ","$563,108 ","$589,409 ","$749,555 ","$233,220 ","$160,987 ","$100,129 ","$141,731 ","$216,717 ","$1,117,166 ","$981,958 ","$865,051 ","$959,101 ","$1,159,804 "
Gregg,"126,871","122,246","126,225","126,225","126,215","$807,933 ","$928,100 ","$749,046 ","$700,157 ","$820,307 ","$309,489 ","$303,429 ","$301,482 ","$314,910 ","$348,267 ","$1,179,100 ","$1,383,505 ","$1,103,271 ","$1,129,497 ","$1,269,069 "
Grimes,"30,240","30,439","29,730","29,730","29,190","$376,546 ","$199,616 ","$92,410 ","$168,138 ","$251,706 ","$43,380 ","$55,690 ","$53,759 ","$31,425 ","$26,621 ","$449,586 ","$266,401 ","$165,599 ","$224,385 ","$292,029 "
Guadalupe,"184,640","177,449","169,139","169,139","165,452","$766,963 ","$597,101 ","$365,605 ","$363,726 ","$435,477 ","$165,610 ","$154,974 ","$115,815 ","$124,801 ","$157,401 ","$1,045,720 ","$815,213 ","$533,788 ","$549,662 ","$673,760 "
Hale,"31,478","31,877","32,864","32,864","33,987","$247,916 ","$195,121 ","$160,074 ","$170,130 ","$151,750 ","$69,838 ","$71,902 ","$26,470 ","$41,396 ","$57,888 ","$345,652 ","$295,157 ","$212,767 ","$237,158 ","$248,491 "
Hall,"2,805","2,824","2,969","2,969","3,095","$26,882 ","$21,482 ","$25,002 ","$20,475 ","$32,424 ","$3,770 ","$1,000 ",$480 ,$0 ,$366 ,"$32,127 ","$28,372 ","$26,682 ","$25,925 ","$44,047 "
Hamilton,"8,162","8,043","8,637","8,637","8,625",$0 ,"$25,514 ","$28,478 ","$32,227 ","$39,394 ","$33,001 ","$7,900 ","$5,200 ","$7,200 ","$8,000 ","$34,610 ","$35,323 ","$35,287 ","$41,236 ","$50,403 "
Hansford,"5,175","5,140","5,288","5,288","5,405","$13,390 ","$27,225 ","$22,390 ","$22,738 ","$25,033 ","$1,350 ","$2,500 ","$1,500 ",$850 ,"$2,000 ","$24,983 ","$34,463 ","$27,150 ","$28,666 ","$32,041 "
Hardeman,"3,449","3,477","3,873","3,873","3,761","$39,695 ","$33,361 ","$5,600 ","$16,031 ","$38,839 ","$4,450 ","$1,950 ","$3,540 ","$5,950 ","$8,534 ","$69,036 ","$38,416 ","$12,128 ","$28,145 ","$57,335 "
Hardin,"58,345","57,061","59,592","59,592","58,370","$335,708 ","$277,373 ","$199,382 ","$272,885 ","$281,247 ","$43,725 ","$61,815 ","$37,375 ","$40,725 ","$64,385 ","$428,519 ","$382,024 ","$276,393 ","$354,312 ","$408,014 "
Harris,"4,845,463","4,759,954","4,703,708","4,703,708","4,714,391","$58,683,160 ","$48,541,286 ","$34,057,364 ","$30,918,307 ","$31,355,232 ","$14,867,650 ","$8,569,235 ","$6,354,429 ","$5,023,460 ","$5,473,856 ","$113,513,803 ","$96,951,404 ","$69,252,850 ","$58,306,775 ","$55,299,196 "
Harrison,"69,907","69,219","68,703","68,703","68,682","$406,449 ","$284,875 ","$189,336 ","$235,861 ","$330,618 ","$147,090 ","$139,377 ","$162,750 ","$151,624 ","$214,212 ","$632,159 ","$503,106 ","$382,481 ","$430,628 ","$623,566 "
Hartley,"5,330","5,331","5,887","5,887","5,647","$22,616 ","$33,575 ","$35,748 ","$150,718 ","$36,481 ","$16,930 ","$17,906 ","$14,133 ","$13,302 ","$15,896 ","$45,001 ","$52,582 ","$64,544 ","$185,130 ","$58,645 "
Haskell,"5,447","5,369","5,572","5,572","5,764","$73,061 ","$31,971 ","$29,019 ","$25,124 ","$30,324 ","$17,445 ","$7,000 ","$9,088 ","$10,250 ","$17,035 ","$92,304 ","$40,461 ","$38,107 ","$41,476 ","$51,861 "
Hays,"279,579","264,252","232,080","232,080","226,853","$2,536,253 ","$2,127,505 ","$899,193 ","$1,079,989 ","$1,188,961 ","$1,273,592 ","$1,034,057 ","$686,920 ","$224,384 ","$194,073 ","$5,231,751 ","$3,226,257 ","$1,715,447 ","$1,449,018 ","$1,512,805 "
Hemphill,"3,321","3,203","3,827","3,827","3,779","$5,401 ","$7,450 ","$8,250 ","$8,350 ","$12,750 ","$5,850 ","$8,450 ","$2,250 ","$4,952 ","$19,000 ","$12,251 ","$16,900 ","$12,000 ","$15,302 ","$32,750 "
Henderson,"83,489","84,692","83,220","83,220","82,422","$628,429 ","$637,008 ","$619,987 ","$634,804 ","$550,906 ","$108,300 ","$118,593 ","$136,202 ","$119,723 ","$116,775 ","$788,477 ","$801,180 ","$797,241 ","$813,147 ","$691,474 "
Hidalgo,"893,365","884,299","888,958","888,958","890,414","$4,576,603 ","$2,705,229 ","$2,141,110 ","$2,961,437 ","$3,642,595 ","$2,040,143 ","$1,333,280 ","$1,431,752 ","$1,518,775 ","$2,242,594 ","$8,704,397 ","$6,031,361 ","$5,638,786 ","$6,637,120 ","$8,128,788 "
Hill,"38,061","36,722","37,470","37,470","36,532","$278,530 ","$206,470 ","$180,210 ","$181,342 ","$216,228 ","$121,576 ","$101,744 ","$76,804 ","$117,391 ","$109,470 ","$438,535 ","$339,367 ","$281,414 ","$338,100 ","$358,995 "
Hockley,"21,266","21,116","22,603","22,603","23,232","$268,304 ","$356,520 ","$357,150 ","$75,540 ","$128,204 ","$33,000 ","$26,400 ","$25,355 ","$22,100 ","$34,000 ","$314,653 ","$398,282 ","$403,040 ","$117,104 ","$169,969 "
Hood,"66,251","64,228","61,387","61,387","61,334","$279,560 ","$235,941 ","$188,663 ","$140,740 ","$158,592 ","$127,801 ","$103,221 ","$120,811 ","$92,025 ","$133,503 ","$552,618 ","$421,717 ","$373,002 ","$311,927 ","$405,502 "
Hopkins,"38,296","37,368","37,475","37,475","37,163","$196,600 ","$193,549 ","$218,496 ","$150,050 ","$187,466 ","$40,468 ","$39,400 ","$16,450 ","$22,350 ","$16,100 ","$293,052 ","$250,098 ","$271,290 ","$194,649 ","$225,868 "
Houston,"21,475","22,262","23,439","23,439","23,319","$224,338 ","$163,954 ","$104,025 ","$137,687 ","$203,636 ","$80,500 ","$58,955 ","$47,613 ","$51,198 ","$54,171 ","$333,537 ","$246,921 ","$173,149 ","$209,395 ","$298,539 "
Howard,"33,102","34,340","36,421","36,421","36,004","$179,499 ","$125,044 ","$109,813 ","$103,988 ","$146,500 ","$85,150 ","$68,400 ","$51,700 ","$35,000 ","$54,500 ","$287,162 ","$210,234 ","$180,083 ","$171,728 ","$253,046 "
