county,pop_2023,felExp_2023,misdExp_2023,totalExp_2023,pop_2022,felExp_2022,misdExp_2022,totalExp_2022,pop_2021,felExp_2021,misdExp_2021,totalExp_2021,pop_2020,felExp_2020,misdExp_2020,totalExp_2020,pop_2019,felExp_2019,misdExp_2019,totalExp_2019
Eastland,"18,092","$121,351","$32,262","$168,922","17,843","$130,829","$40,375","$194,245","18,278","$110,308","$25,775","$146,664","18,278","$95,787","$37,725","$157,346","18,416","$165,155","$45,825","$222,886"
Ector,"173,239","$1,438,936","$474,241","$2,132,198","159,230","$1,218,606","$380,195","$2,006,119","169,394","$832,332","$253,275","$1,327,224","169,394","$891,269","$233,750","$1,351,586","165,230","$827,428","$245,775","$1,369,320"
Edwards,"1,411","$14,783",$403,"$16,185","1,411","$22,937",$683,"$24,620","1,979","$14,139",$608,"$15,747","1,979","$2,494",$385,"$4,211","1,912","$4,456",$791,"$6,247"
Ellis,"215,401","$1,628,419","$561,275","$2,381,520","208,861","$1,277,310","$552,410","$2,007,084","191,469","$1,088,389","$431,038","$1,683,011","191,469","$991,002","$419,368","$1,584,409","182,439","$984,926","$545,872","$1,620,581"
El Paso,"869,608","$2,361,326","$738,161","$17,250,721","874,347","$2,344,566","$680,733","$15,088,658","851,888","$1,869,228","$935,007","$13,355,818","851,888","$2,555,311","$1,123,096","$13,661,891","855,623","$3,057,133","$1,752,752","$15,005,802"
Erath,"43,140","$88,260","$29,925","$127,210","43,749","$65,567","$23,924","$91,979","43,110","$54,500","$36,425","$93,075","43,110","$55,398","$40,265","$98,448","43,366","$100,485","$55,100","$161,985"
Falls,"17,275","$152,952","$43,410","$228,243","16,612","$175,792","$46,344","$259,318","17,432","$133,346","$27,800","$184,102","17,432","$156,706","$41,035","$213,816","17,346","$139,050","$39,475","$206,861"
Fannin,"37,300","$500,239","$53,230","$636,216","36,670","$371,919","$48,895","$478,767","36,727","$475,970","$54,755","$562,553","36,727","$300,745","$24,629","$379,964","35,347","$215,676","$53,700","$329,459"
Fayette,"25,003","$222,179","$46,718","$300,702","24,529","$282,508","$42,742","$369,633","26,522","$87,439","$53,401","$154,324","26,522","$212,577","$50,568","$272,403","25,816","$100,143","$59,730","$161,325"
Fisher,"3,559","$29,648","$1,200","$32,148","3,728","$20,350","$3,900","$25,250","3,897","$20,175",$600,"$21,775","3,897","$4,250",$350,"$5,600","3,708","$9,950","$1,500","$12,481"
Floyd,"5,124","$9,475","$1,900","$13,356","5,273","$17,473","$2,250","$21,304","5,445","$6,360","$2,550","$10,441","5,445","$8,616",$450,"$10,647","5,698","$11,460","$3,850","$17,682"
Foard,"1,069","$2,750",$0,"$3,750","1,073","$4,375",$0,"$5,375","1,102","$1,175",$0,"$2,175","1,102","$2,234","$1,500","$5,184","1,205",$750,"$1,459","$3,209"
Fort Bend,"878,774","$5,132,478","$1,760,841","$10,837,165","875,921","$3,698,561","$1,369,948","$8,789,102","818,912","$3,338,889","$1,173,107","$7,884,835","818,912","$4,303,707","$1,373,103","$8,842,264","786,213","$3,641,187","$1,476,989","$8,053,973"
Franklin,"11,161","$36,628","$2,500","$50,586","10,477","$45,345","$2,000","$59,103","10,792","$36,625","$2,900","$50,683","10,792","$41,512","$1,050","$54,820","10,748","$44,218","$4,100","$63,180"
Freestone,"19,918","$123,096","$13,475","$146,307","19,853","$217,669","$12,309","$237,464","20,732","$130,328","$14,044","$151,485","20,732","$96,223","$12,653","$117,011","20,472","$126,070","$16,595","$155,752"
Frio,"18,219","$60,816","$21,700","$180,196","19,030","$59,676","$11,100","$167,052","18,937","$46,305","$14,000","$122,898","18,937","$36,850","$6,400","$52,737","19,735","$108,120","$12,200","$134,193"
Gaines,"22,052","$165,676","$26,724","$223,888","22,010","$64,297","$14,646","$101,002","21,258","$34,188","$11,307","$72,054","21,258","$25,432","$12,768","$65,980","21,200","$26,530","$17,347","$72,763"
Galveston,"359,148","$1,950,713","$428,038","$3,646,442","353,670","$1,999,507","$607,422","$4,187,188","341,146","$1,396,308","$446,432","$2,627,264","341,146","$1,547,584","$420,456","$2,574,543","339,241","$1,933,059","$540,968","$2,950,054"
Garza,"6,061","$39,277",$0,"$45,315","5,775","$32,685","$1,500","$37,182","5,978","$25,649","$1,075","$28,419","5,978","$21,540","$3,710","$27,212","6,360","$22,653","$3,695","$30,992"
Gillespie,"27,907","$44,944","$8,284","$278,827","27,284","$80,211","$22,162","$276,719","27,617","$100,553","$24,326","$204,422","27,617","$143,310","$17,992","$166,287","27,016","$144,905","$21,483","$194,935"
Glasscock,"1,194","$5,550",$0,"$6,550","1,120","$8,100",$0,"$9,100","1,363","$4,500",$0,"$5,500","1,363","$3,600",$0,"$4,600","1,448","$1,150",$400,"$3,150"
Goliad,"7,042","$24,102",$325,"$221,624","7,204","$22,470",$0,"$141,328","8,127","$8,665",$0,"$125,948","8,127","$12,311",$0,"$129,594","7,869","$13,864",$400,"$132,410"
