county,disposed_2022,disposed_2021,disposed_2020,disposed_2019,disposed_2018,paid_2022,paid_2021,paid_2020,paid_2019,paid_2018
Sherman,63,27,65,53,80,45,85,74,63,56
Smith,"3,424",315,"2,561",321,"2,906",357,"4,094",503,"3,755",494
Somervell,119,9,130,5,162,13,181,24,159,16
Starr,"1,020",486,19,134,393,161,705,280,844,330
Stephens,321,225,384,122,252,65,178,53,261,96
Sterling,14,9,58,15,35,6,39,17,45,11
Stonewall,1,0,14,2,14,12,9,1,18,1
Sutton,232,14,181,8,295,19,250,33,234,11
Swisher,107,24,25,2,45,11,133,40,128,23
Tarrant,"31,855","16,221","23,866","10,796","21,168","11,788","31,452","15,333","30,696","14,453"
Taylor,"1,860","1,302","1,963","1,304","2,700","1,614","2,893","2,082","3,133","2,092"
Terrell,0, ,6,0,10,1,52,11,60,13
Terry,246,137,207,127,207,123,249,137,277,180
Throckmorton,11,4,0,0,1,0,0,0,0,0
Titus,302,61,585,96,487,78,762,163,923,221
Tom,"2,752",966,"2,321",721,"2,266",589,"2,686",767,"2,949",803
Travis,"20,897","10,265","20,086","8,903","16,977","11,115","27,875","14,950","30,431","14,947"
Trinity,90,29,54,26,127,48,190,103,224,91
Tyler,108,55,251,41,215,59,290,82,485,51
Upshur,389,78,494,64,376,53,531,121,581,72
Upton,96,38,66,27,77,27,69,18,50,17
Uvalde,222,6,45,22,346,20,458,21,393,35
Val,440,192,561,259,546,352,713,431,609,371
Van,618,146,773,171,399,83,"1,451",175,763,93
Victoria,"1,619",886,"1,196",669,"1,621",904,"1,873",905,"1,774",949
Walker,939,734,657,514,843,531,695,542,718,653
Waller,580,251,537,141,540,201,663,248,391,251
Ward,551,49,417,47,381,37,393,25,409,41
Washington,803,354,787,338,708,353,749,411,764,313
Webb,"1,524","1,477","1,016","1,238","1,257","1,315","1,391","1,739","1,804","1,939"
Wharton,"1,152",201,730,127,788,135,"1,088",183,"1,286",213
Wheeler,159,102,86,37,116,33,202,55,307,97
Wichita,"1,632","1,568","1,194",954,"1,479","1,152","2,521","1,666","2,603","2,057"
Wilbarger,397,22,318,18,263,8,248,19,241,20
Willacy,221,164,144,25,168,231,357,353,220,153
Williamson,"4,754","2,363","3,065","1,515","4,574","2,647","7,095","4,013","8,498","4,458"
Wilson,650,241,"1,003",194,890,208,"1,170",317,"1,084",224
Winkler,124,15,98,6,120,13,299,29,280,8
Wise,"1,247",244,"1,465",276,"1,175",256,"1,448",382,"1,690",359
Wood,394,81,354,69,359,85,600,186,"1,010",230
Yoakum,86,14,66,15,62,8,73,25,61,24
Young,509,176,407,181,464,207,586,257,577,236
Zapata,173,104,183,77,130,62,155,93,174,76
Zavala,88,2,292,7,232,2,206,19,234,13
